elapsed_s,stream,joint,deg
42.8540,maxon,right_wrist,-7.312
42.8543,arm,left_elbow,-79.161
42.8555,maxon,right_wrist,-6.863
42.8562,maxon,left_wrist,41.231
42.8564,maxon,right_wrist,-6.411
42.8570,maxon,right_wrist,-5.961
42.8573,neck,head_2,-13.711
42.8583,maxon,right_wrist,-5.771
42.8589,maxon,right_wrist,-5.577
42.8608,maxon,right_wrist,-5.386
42.8614,maxon,right_wrist,-5.193
42.8617,neck,head_2,-13.623
42.8628,maxon,right_wrist,-5.002
42.8636,maxon,right_wrist,-5.600
42.8641,maxon,right_wrist,-6.198
42.8645,arm,left_elbow,-79.212
42.8656,maxon,right_wrist,-6.795
42.8662,maxon,right_wrist,-7.395
42.8665,neck,head_2,-13.447
42.8666,arm,right_elbow,82.298
42.8675,maxon,right_wrist,-7.993
42.8684,maxon,right_wrist,-8.571
42.8688,maxon,left_wrist,41.170
42.8690,maxon,right_wrist,-9.151
42.8707,maxon,right_wrist,-9.728
42.8713,maxon,right_wrist,-10.308
42.8716,neck,head_2,-13.359
42.8724,maxon,left_wrist,41.103
42.8726,maxon,right_wrist,-10.886
42.8735,maxon,right_wrist,-11.446
42.8739,maxon,left_wrist,41.027
42.8741,maxon,right_wrist,-12.006
42.8756,maxon,right_wrist,-12.566
42.8762,maxon,left_wrist,40.955
42.8764,maxon,right_wrist,-13.123
42.8767,neck,head_2,-13.271
42.8768,arm,left_elbow,-79.274
42.8768,arm,right_shoulder_2,-21.507
42.8777,maxon,right_wrist,-13.683
42.8783,maxon,left_wrist,40.864
42.8786,maxon,right_wrist,-14.223
42.8790,maxon,left_wrist,40.814
42.8791,maxon,right_wrist,-14.763
42.8795,arm,right_elbow,82.368
42.8804,maxon,left_wrist,40.761
42.8807,maxon,right_wrist,-15.303
42.8811,maxon,left_wrist,40.708
42.8813,maxon,right_wrist,-15.843
42.8816,neck,head_2,-13.184
42.8817,arm,right_elbow,82.420
42.8824,maxon,left_wrist,40.658
42.8826,maxon,right_wrist,-16.383
42.8830,maxon,left_wrist,40.590
42.8833,maxon,right_wrist,-16.903
42.8839,maxon,left_wrist,40.523
42.8841,maxon,right_wrist,-17.425
42.8844,arm,right_shoulder_2,-21.444
42.8844,arm,right_elbow,82.484
42.8854,maxon,left_wrist,40.457
42.8857,maxon,right_wrist,-17.945
42.8861,maxon,left_wrist,40.390
42.8863,maxon,right_wrist,-18.465
42.8866,neck,head_2,-13.096
42.8867,arm,right_elbow,82.558
42.8875,maxon,left_wrist,40.324
42.8877,maxon,right_wrist,-18.984
42.8881,maxon,left_wrist,40.241
42.8884,maxon,right_wrist,-19.487
42.8890,maxon,left_wrist,40.161
42.8892,maxon,right_wrist,-19.986
42.8895,arm,left_elbow,-79.335
42.8895,arm,right_shoulder_2,-21.379
42.8895,arm,right_elbow,82.653
42.8903,maxon,left_wrist,40.078
42.8905,maxon,right_wrist,-20.489
42.8910,maxon,left_wrist,39.998
